,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit,Gender,Preformer
196,653601,Horse Girl,2020-01-27,0,0,0,1,Alison Brie
197,550860,Notes from Dunblane: Lessons from a School Shooting,2018-09-28,0,0,0,0,Father Bob Weiss
198,686919,Maska,2020-03-27,0,0,0,1,Manisha Koirala
199,21137,The Decline of Western Civilization,1981-07-01,100000,0,-100000,0,Alice Bag
200,774054,The Minimalists: Less Is Now,2021-01-01,84919,0,-84919,0,Joshua Fields Millburn
201,419472,The Polka King,2017-01-22,0,0,0,2,Jack Black
202,487702,F*&% the Prom,2017-12-05,0,0,0,1,Danielle Campbell
203,339396,True Memoirs of an International Assassin,2016-11-11,40000000,0,-40000000,2,Kevin James
204,668195,Ultras,2020-03-09,0,0,0,2,Aniello Arena
205,430446,Come Sunday,2018-01-21,0,0,0,2,Chiwetel Ejiofor
206,70548,Forgive Us Our Debts,1991-01-01,0,0,0,,
207,414190,iBoy,2017-01-27,1500000,0,-1500000,2,Bill Milner
208,559082,Lovefucked,2018-10-26,0,0,0,0,Rohit Kokate
209,581475,Juanita,2019-03-08,0,0,0,1,Alfre Woodard
210,514999,Murder Mystery,2019-05-25,24000000,0,-24000000,2,Adam Sandler
211,605116,Project Power,2020-08-14,0,0,0,2,Jamie Foxx
212,505379,Rebecca,2020-10-16,0,0,0,1,Lily James
213,654028,The Christmas Chronicles: Part Two,2020-11-18,0,0,0,2,Kurt Russell
214,454983,The Kissing Booth,2018-05-11,0,0,0,1,Joey King
215,556803,The Princess Switch,2018-11-16,0,0,0,1,Vanessa Hudgens
216,565426,To All the Boys: P.S. I Still Love You,2020-02-12,0,0,0,1,Lana Condor
217,354287,War Machine,2017-05-26,60000000,0,-60000000,2,Brad Pitt
218,509967,6 Underground,2019-12-10,150000000,0,-150000000,2,Ryan Reynolds
219,584962,Between Two Ferns: The Movie,2019-09-20,0,0,0,2,Zach Galifianakis
220,426265,Burning Sands,2017-01-24,0,0,0,2,Trevor Jackson
221,430826,Casting JonBenet,2017-04-28,0,0,0,1,Hannah Cagwin
222,428687,Deidra & Laney Rob a Train,2017-01-23,0,0,0,1,Ashleigh Murray
223,644092,Finding 'Ohana,2021-01-29,0,0,0,1,Kea Peahu
224,615665,Holidate,2020-10-27,0,0,0,1,Emma Roberts
225,531438,Holiday in the Wild,2019-11-06,0,0,0,2,Rob Lowe
226,318256,Hot Girls Wanted,2015-05-29,0,0,0,1,Ava Taylor
227,38322,"Big Mommas: Like Father, Like Son",2011-02-16,32000000,83615414,51615414,2,Martin Lawrence
228,762006,The Lost Girls,2021-12-25,0,0,0,2,Louis Partridge
229,531509,Otherhood,2019-08-13,0,0,0,1,Angela Bassett
230,347689,Pee-wee's Big Holiday,2016-03-15,0,0,0,2,Paul Reubens
231,671039,Rogue City,2020-10-30,0,0,0,2,Lannick Gautry
232,653744,Sergio,2020-01-28,16000000,0,-16000000,2,Wagner Moura
233,646955,Stuck Apart,2021-01-08,0,0,0,2,Engin Günaydın
234,666649,Tersanjung: The Movie,2021-04-01,0,0,0,0,Clara Bernadeth
235,548064,You Might Be the Killer,2018-09-21,0,0,0,2,Fran Kranz
236,576156,The Lovebirds,2020-05-22,0,0,0,1,Issa Rae
237,401743,The Most Hated Woman in America,2017-03-24,0,0,0,1,Melissa Leo
238,529962,The Perfection,2018-09-20,0,0,0,1,Allison Williams
239,744991,Tribhanga,2021-01-15,0,0,0,1,Kajol
240,438396,Unknown Origins,2020-08-28,3268650,0,-3268650,2,Javier Rey
241,612706,Work It,2020-08-07,0,0,0,1,Sabrina Carpenter
242,656561,Alien Xmas,2020-11-20,0,0,0,2,Dee Bradley Baker
243,694254,Baggio: The Divine Ponytail,2021-05-26,0,0,0,2,Andrea Arcangeli
244,182228,100 Degrees Below Zero,2013-03-29,500000,0,-500000,2,John Rhys-Davies
245,755340,Citation,2020-11-05,0,0,0,2,Jimmy Jean-Louis
246,655832,Crazy Awesome Teachers,2020-08-17,0,0,0,0,Gading Marten
247,826844,Have You Ever Seen Fireflies? - Theatre Play,,0,0,0,,
248,510498,High Flying Bird,2019-01-27,0,0,0,2,André Holland
249,530382,In the Shadow of the Moon,2019-09-27,0,0,0,2,Boyd Holbrook
250,239889,JFK: The Lost Bullet,2011-11-17,0,0,0,,
251,726940,Octonauts and the Caves of Sac Actun,2020-08-14,0,0,0,2,Simon Greenall
252,673174,Offering to the Storm,2020-07-24,5989313,0,-5989313,1,Marta Etura
253,426257,"Roxanne, Roxanne",2017-01-22,0,0,0,1,Chanté Adams
254,515248,Someone Great,2019-04-19,0,0,0,1,Gina Rodriguez
255,581600,Spenser Confidential,2020-03-06,0,0,0,2,Mark Wahlberg
256,452731,The Land of Steady Habits,2018-09-12,0,0,0,2,Ben Mendelsohn
257,510073,The Rachel Divide,2018-04-23,0,0,0,0,Rachel Dolezal
258,397442,Win It All,2017-03-11,0,0,0,2,Jake Johnson
259,452507,1922,2017-10-20,0,0,0,2,Thomas Jane
260,602760,A Tale of Two Kitchens,2019-05-22,0,0,0,0,Gabriela Cámara
261,511785,Alex Strangelove,2018-04-16,0,0,0,2,Daniel Doheny
262,424121,Apostle,2018-09-21,0,0,0,2,Dan Stevens
263,495193,Benji,2018-03-02,0,0,0,2,Gabriel Bateman
264,400106,Bright,2017-12-22,90000000,0,-90000000,2,Will Smith
265,425972,Cargo,2017-10-06,0,56385,56385,2,Martin Freeman
266,621954,Concrete Cowboy,2020-09-10,0,0,0,2,Idris Elba
267,707886,Feel the Beat,2020-06-19,0,0,0,1,Sofia Carson
268,799497,Get the Goat,2021-03-18,0,0,0,2,Edmilson Filho
269,515841,I Am Not an Easy Man,2018-04-13,0,0,0,2,Vincent Elbaz
270,787675,May June July,2021-06-25,0,0,0,,
271,596178,Music Teacher,2018-09-08,0,0,0,2,Manav Kaul
272,824865,Nail Bomber: Manhunt,2021-05-26,0,0,0,2,Tony Blair
273,674865,Notes for My Son,2020-11-24,0,0,0,1,Valeria Bertuccelli
274,483906,Polar,2019-01-25,0,0,0,2,Mads Mikkelsen
275,390054,Sand Castle,2017-04-21,0,0,0,2,Logan Marshall-Green
276,457962,Shimmer Lake,2017-06-09,0,0,0,2,Rainn Wilson
277,324670,Spectral,2016-12-09,70000000,0,-70000000,2,James Badge Dale
278,623491,The Babysitter: Killer Queen,2020-09-10,0,0,0,2,Judah Lewis
279,376134,The Discovery,2017-03-31,0,0,0,2,Jason Segel
280,631997,The Forest of Love,2019-10-11,0,0,0,2,Kippei Shiina
281,517909,The Laundromat,2019-09-27,0,0,0,1,Meryl Streep
282,589023,The Legend of Cocaine Island,2018-04-20,0,0,0,0,Rodney Hyden
283,199928,The Outsider,2018-03-09,0,0,0,2,Jared Leto
284,571785,Time to Hunt,2020-02-22,9070000,0,-9070000,2,Lee Je-hoon
285,614409,To All the Boys: Always and Forever,2021-02-12,0,0,0,1,Lana Condor
286,625561,Travis Scott: Look Mom I Can Fly,2019-08-28,0,0,0,2,Travis Scott
287,660609,Uncorked,2020-03-27,0,0,0,0,Mamoudou Athie
288,726649,Anelka: Misunderstood,2020-08-05,0,0,0,2,Nicolas Anelka
289,774372,"ariana grande: excuse me, i love you",2020-12-21,0,0,0,1,Ariana Grande
290,410199,ARQ,2016-09-16,2000000,0,-2000000,2,Robbie Amell
291,632602,Birders,2019-09-25,0,0,0,0,Esteban Berrones
292,502122,First Match,2018-03-12,0,0,0,1,Elvire Emanuelle
293,568091,Fractured,2019-09-22,0,0,0,2,Sam Worthington
294,450489,Irreplaceable You,2018-02-16,10000000,0,-10000000,1,Gugu Mbatha-Raw
295,658760,Isi & Ossi,2020-02-14,0,0,0,1,Lisa Vicari
296,656353,John Was Trying to Contact Aliens,2020-01-23,0,0,0,0,John Shepherd
297,655830,Layla Majnun,2021-02-11,0,0,0,2,Reza Rahadian
298,690596,Murder to Mercy: The Cyntoia Brown Story,2020-04-29,0,0,0,1,Cyntoia D. Brown
299,285595,My Own Man,2014-03-06,0,0,0,,
300,519035,Nappily Ever After,2018-09-21,0,0,0,1,Sanaa Lathan
301,560050,Over the Moon,2020-10-16,0,0,0,1,Cathy Ang
302,614488,Street Flow,2019-10-12,0,0,0,2,Bakary Diombera
303,428612,Strong Island,2017-01-23,0,0,0,2,Yance Ford
304,624989,Sturgill Simpson Presents Sound & Fury,2019-09-27,0,0,0,2,Sturgill Simpson
305,502166,Take Your Pills,2018-03-09,0,0,0,0,Eben Britton
306,672745,The Heartbreak Club,2021-01-14,0,0,0,0,Bhisma Mulia
307,433878,The Mars Generation,2017-01-20,0,0,0,2,Bill Nye
308,711715,The Current Occupant,2020-07-17,0,0,0,2,Barry Watson
309,560044,The Willoughbys,2020-04-22,0,0,0,2,Will Forte
310,399361,Triple Frontier,2019-03-06,0,0,0,2,Ben Affleck
311,549599,Two Catalonias,2018-09-28,0,0,0,2,Carles Puigdemont
312,581420,Walk. Ride. Rodeo.,2019-03-08,0,0,0,1,Spencer Locke
313,471014,Wheelman,2017-10-20,0,0,0,2,Frank Grillo
314,433310,When We First Met,2018-02-09,10000000,0,-10000000,2,Adam DeVine
315,617331,A 3 Minute Hug,2018-11-20,0,0,0,,
316,342470,All the Bright Places,2020-02-28,0,0,0,1,Elle Fanning
317,615466,All Together Now,2020-08-28,0,0,0,1,Auli'i Cravalho
318,665251,Altered Carbon: Resleeved,2020-03-19,0,0,0,2,Tatsuhisa Suzuki
319,589116,Antoine Griezmann: The Making of a Legend,2019-03-21,0,0,0,2,Antoine Griezmann
320,770922,Canvas,2020-10-29,0,0,0,,
321,818119,Chadwick Boseman: Portrait of an Artist,2021-04-17,0,0,0,2,Chadwick Boseman
322,601801,Chopsticks,2019-05-31,0,0,0,2,Abhay Deol
323,581859,Da 5 Bloods,2020-06-12,45000000,0,-45000000,2,Delroy Lindo
324,809208,Dolly Parton: A MusiCares Tribute,2021-04-07,0,0,0,1,Dolly Parton
325,531454,Eurovision Song Contest: The Story of Fire Saga,2020-06-26,0,0,0,1,Rachel McAdams
326,343674,Gerald's Game,2017-09-29,0,0,0,1,Carla Gugino
327,575774,His House,2020-01-27,0,0,0,2,Sope Dirisu
328,622855,Jingle Jangle: A Christmas Journey,2020-11-06,0,0,0,2,Forest Whitaker
329,593280,Life Overtakes Me,2019-01-26,0,0,0,0,Henry Ascher
330,530154,Lust Stories,2018-06-15,0,0,0,1,Radhika Apte
331,458576,Monster Hunter,2020-12-03,60000000,25814306,-34185694,1,Milla Jovovich
